"","Easting","Northing","BFS","Name","Count","i1","i6","i11","iv14"
"1",786007.8,194653.8,"3871_1","Klosters-Serneus",8,"2","2","2","2"
"2",780616.786,204792.054,"3893_1","Sankt Antönien",8,"2","2","2","2"
"3",778152.1,198598.1,"3882_1","Küblis",6,"2","2","2","2"
"4",771204.8,204549.3,"3962_1","Schiers",11,"2","2","2","2"
"5",761946.6,196105.1,"3945_1","Trimmis",7,"2","2","2","2"
"6",783287.7,187016.5,"3851_1","Davos",6,"2","2","2","2"
"7",773501.9,188048,"3924_1","Langwies",10,"2","2","2","2"
"8",770905.5,183246.8,"3921_1","Arosa",7,"2","2","2","2"
"9",774082.3,175134.3,"3523_1","Wiesen (GR)",8,"2","2","2","2"
"10",778375,176042,"3851_2","Monstein",8,"2","2","2","2"
"11",746032.1,270134.2,"4436_1","Romanshorn",7,"2","2","2","2"
"12",747458.6,262872.3,"4431_1","Roggwil (TG)",7,"2","2","2","2"
"13",762223.4,259620.9,"3235_1","Rheineck",6,"2","2","2","2"
"14",760737.4,183237.1,"3911_1","Churwalden",10,"2","2","2","2"
"15",761123.2,207762.3,"3952_1","Jenins",6,"2","2","2","2"
"16",762594.2,205611,"3954_1","Malans",6,"2","2","2","2"
"17",759270.2,148941.5,"3681_1","Avers",5,"2","2","2","2"
"18",759617.3,190971.7,"3901_1","Chur",6,"2","2","2","2"
"19",756858,206289.5,"3294_1","Pfäfers",9,"2","2","2","2"
"20",757761.2,210552.5,"3951_1","Fläsch",8,"2","2","2","2"
"21",759603.3,199544.9,"3946_1","Untervaz",15,"1","2","2","2"
"22",755345.4,204001.3,"3294_2","Valens",8,"2","2","2","2"
"23",755427.6,221013.8,"3275_1","Sevelen",11,"2","2","2","2"
"24",755341.8,217748.2,"3276_1","Wartau",9,"2","2","2","2"
"25",757737.1,171662.6,"3503_1","Mutten",8,"2","2","2","2"
"26",756325.5,236541,"3274_1","Sennwald",11,"2","2","2","2"
"27",752159.9,227508.6,"3273_1","Grabs",10,"2","2","2","2"
"28",750473.9,212540.9,"3293_1","Mels",8,"1","2","2","2"
"29",753083.1,173874.7,"3668_1","Thusis",7,"2","2","2","2"
"30",750176.1,188442.5,"3733_1","Tamins",6,"2","2","2","2"
"31",752463.7,197339.9,"3294_3","Vättis",16,"2","2","2","2"
"32",744944.6,217934.8,"3292_1","Flums",11,"2","2","1","1"
"33",744857.8,229814.8,"3357_1","Wildhaus",8,"2","2","2","2"
"34",744960.6,206038,"3293_2","Weisstannen",7,"2","2","2","2"
"35",743508.772,171727.795,"3651_1","Safien",15,"2","2","2","2"
"36",749665.6,259396.5,"3214_1","Mörschwil",9,"2","2","2","2"
"37",757824.9,256855,"3032_1","Heiden",5,"2","2","2","2"
"38",763776.7,254967.7,"3233_1","Berneck",8,"2","2","2","2"
"39",746281.7,254305.6,"3203_1","St. Gallen",23,"2","2","2","2"
"40",752903.1,252760.4,"3025_1","Trogen",8,"2","2","2","2"
"41",749721.2,248797.8,"3021_1","Bühler",10,"2","2","2","2"
"42",758922.2,249652.4,"3251_1","Altstätten",6,"2","2","2","2"
"43",767320.4,250716.3,"3234_1","Diepoldsau",8,"2","2","2","2"
"44",750549.3,242991.1,"3103_1","Rüte",6,"2","2","2","2"
"45",748937.689,243829.809,"3101_1","Appenzell",10,"2","2","2","2"
"46",747915.1,246925.7,"3104_1","Schlatt-Haslen",5,"2","2","2","2"
"47",752020.7,247518.1,"3022_1","Gais",10,"2","2","2","2"
"48",761206.8,243549.8,"3254_1","Oberriet (SG)",13,"2","2","2","2"
"49",740264.1,268297.6,"4461_1","Amriswil",5,"2","2","2","2"
"50",737115.5,265056.8,"4511_1","Zihlschlacht-Sitterdorf",9,"2","2","2","2"
"51",741291.9,273333.3,"4426_1","Kesswil",6,"2","2","2","2"
"52",738831.1,250457,"3001_1","Herisau",13,"2","2","2","2"
"53",738503.5,255523.8,"3441_1","Andwil (SG)",8,"2","2","2","2"
"54",739562.3,246841.6,"3007_1","Waldstatt",7,"2","2","2","2"
"55",732095.8,253107.2,"3402_1","Flawil",9,"2","2","2","2"
"56",732771,265250.8,"4501_1","Kradolf-Schönenberg",7,"1","2","2","2"
"57",732279.7,271646.8,"4901_1","Birwinken",11,"2","2","2","2"
"58",742223.1,220469.1,"3298_1","Walenstadt",11,"2","2","2","2"
"59",736807.2,219040.1,"3295_1","Quarten",11,"2","2","2","2"
"60",735510.8,229129.4,"3356_1","Stein (SG)",9,"1","2","1","2"
"61",730437.8,204964.4,"1606_1","Engi",10,"2","2","2","2"
"62",732020.3,197887.3,"1605_1","Elm",8,"2","2","2","2"
"63",729153.3,223418.5,"3311_1","Amden",8,"1","2","2","2"
"64",729917.3,219884.6,"1624_1","Obstalden",7,"2","2","2","2"
"65",723875.1,211327.2,"1609_1","Glarus",15,"2","2","2","2"
"66",724263.3,217182.5,"1617_1","Mollis",11,"2","2","2","2"
"67",724444.4,206098.1,"1627_1","Schwanden (GL)",25,"1","2","2","2"
"68",721865.6,224518,"3315_1","Schänis",5,"2","2","2","2"
"69",723309.6,217750.6,"1619_1","Näfels",12,"2","2","2","2"
"70",725415.9,269785.9,"4946_1","Weinfelden",7,"2","2","2","2"
"71",720819.2,258088.3,"3425_1","Wil (SG)",8,"2","2","2","2"
"72",720873.3,252399.4,"3392_1","Kirchberg (SG)",7,"2","2","2","2"
"73",715506,252722.9,"4726_1","Fischingen",8,"2","2","2","2"
"74",714126.5,261731.6,"4781_1","Wängi",7,"2","2","2","2"
"75",714785.7,267223.7,"4611_1","Thundorf",8,"2","2","2","2"
"76",711174.9,249510.4,"179_1","Sternenberg",7,"2","2","2","2"
"77",709724.7,268499.8,"4566_2","Frauenfeld",7,"1","2","2","2"
"78",708631.8,247238.8,"171_1","Bauma",8,"2","2","2","2"
"79",707658.3,273924,"4821_1","Hüttwilen",5,"1","2","2","2"
"80",707609.6,260929.3,"217_1","Elgg",6,"2","2","2","2"
"81",706004.5,255005.1,"228_1","Turbenthal",9,"2","2","2","2"
"82",704297.6,268955.9,"218_1","Ellikon an der Thur",8,"2","2","2","2"
"83",702901.3,285010.7,"2963_1","Ramsen",8,"2","2","2","2"
"84",725587.5,280231.2,"4646_2","Triboltingen",8,"2","2","2","2"
"85",723736.9,281188.4,"4646_1","Ermatingen",6,"2","2","2","2"
"86",706733.5,279705.6,"2964_1","Stein am Rhein",10,"2","2","2","2"
"87",710853.1,278102.1,"4826_1","Mammern",7,"2","2","2","2"
"88",732812.3,278058.2,"4643_1","Bottighofen",8,"2","2","2","2"
"89",701578.8,277389.3,"42_1","Unterstammheim",10,"2","2","2","2"
"90",717923.3,277142.8,"4816_1","Homburg",6,"2","2","2","2"
"91",720947.9,246994.2,"3394_1","Mosnang",10,"2","2","2","2"
"92",707167.9,243705.8,"111_1","Bäretswil",11,"2","2","2","2"
"93",733022,248352.7,"3401_1","Degersheim",10,"2","2","2","2"
"94",724737.7,240440,"3377_2","Wattwil",6,"2","2","2","2"
"95",721811.8,241962.9,"3373_1","Krinau",8,"2","2","2","2"
"96",727936.1,243958.9,"3371_1","Brunnadern",7,"2","2","2","2"
"97",739643.6,242472,"3006_1","Urnäsch",9,"2","2","2","2"
"98",727318.7,236114.99,"3352_1","Ebnat-Kappel",6,"2","2","2","2"
"99",711579.5,236954.7,"120_1","Wald (ZH)",9,"2","2","2","2"
"100",712309.8,233252.5,"3332_1","Eschenbach (SG)",7,"2","2","2","2"
"101",718706.1,228821.8,"3312_1","Benken (SG)",9,"2","2","2","2"
"102",704376.2,231363.4,"3336_1","Rapperswil",11,"2","2","2","2"
"103",714199.8,229148.3,"1347_1","Tuggen",6,"2","2","2","2"
"104",718741,197583.1,"1613_1","Linthal",9,"2","2","2","2"
"105",721638.1,203049.8,"1614_2","Luchsingen",5,"1","2","2","2"
"106",707043.1,227798.5,"1344_1","Lachen",10,"1","2","2","2"
"107",702100.8,210733.9,"1368_1","Oberiberg",5,"1","2","2","2"
"108",712339.7,218210.9,"1343_1","Innerthal",7,"2","2","2","2"
"109",701463,191131.1,"1219_1","Unterschächen",10,"1","2","1","2"
"110",697061.1,227997.6,"1323_1","Wollerau",7,"1","2","2","2"
"111",698973.7,220504.4,"1301_1","Einsiedeln",6,"2","2","1","2"
"112",696991.1,214100.6,"1361_1","Alpthal",6,"1","2","2","2"
"113",693962.931,183023.888,"1216_1","Silenen",8,"1","2","1","1"
"114",693649.5,231638.1,"142_1","Wädenswil",8,"2","2","2","2"
"115",692370.3,208484.8,"1372_1","Schwyz",7,"1","2","2","2"
"116",700265.4,203588.5,"1367_1","Muotathal",8,"1","2","1","2"
"117",692706.7,225643.3,"134_1","Hütten",8,"1","2","2","2"
"118",689212.3,221052.2,"1706_1","Oberägeri",11,"2","2","2","2"
"119",726750.719,178493.259,"3612_1","Obersaxen",7,"2","2","2","2"
"120",687824.5,169160.6,"1208_1","Göschenen",8,"1","2","2","2"
"121",690886.4,176996.9,"1209_1","Gurtnellen",6,"1","2","2","1"
"122",733412.6,164437.2,"3603_1","Vals",10,"2","2","2","2"
"123",688756.5,165378.5,"1202_1","Andermatt",7,"1","2","2","2"
"124",742072.9,156665,"3692_1","Medels im Rheinwald",5,"2","2","2","1"
"125",701689.4,247120.8,"177_1","Pfäffikon",9,"2","2","2","2"
"126",699833.9,240433.9,"115_1","Gossau (ZH)",6,"1","2","2","2"
"127",694666.4,239491.7,"192_1","Egg",6,"2","2","2","2"
"128",696680.1,245189.9,"198_1","Uster",8,"2","2","2","2"
"129",694830.2,247350.3,"198_2","Nänikon",5,"2","2","1","2"
"130",693024.8,244020.1,"195_1","Maur",9,"2","2","2","2"
"131",691254.6,236105.7,"156_1","Meilen",11,"2","2","2","2"
"132",690649.7,247343.2,"193_1","Fällanden",4,"2","2","2","2"
"133",696930,251676.6,"174_1","Illnau-Effretikon",20,"2","2","2","2"
"134",696845.5,261856.2,"230_1","Winterthur",8,"2","2","2","2"
"135",693216.8,272190.2,"30_1","Andelfingen",8,"2","2","2","2"
"136",691064.8,275701.6,"35_1","Marthalen",8,"2","2","2","2"
"137",688037.9,270075.6,"28_1","Flaach",6,"2","2","2","2"
"138",692601.3,264925.7,"223_1","Neftenbach",5,"2","2","2","2"
"139",689572.1,254881.1,"52_1","Bassersdorf",15,"2","2","2","2"
"140",684585.3,269719.5,"2933_1","Buchberg",6,"2","2","2","2"
"141",685793.7,264959.4,"68_1","Rorbas",7,"2","2","2","2"
"142",682735.8,248230.3,"261_1","Zürich",10,"2","2","2","2"
"143",682667.6,264267.2,"53_1","Bülach",10,"2","2","1","2"
"144",681520.7,270058.5,"55_1","Eglisau",9,"1","2","2","2"
"145",682508.3,256489.7,"97_1","Rümlang",5,"2","2","1","2"
"146",682828.8,273998.3,"67_1","Rafz",8,"2","2","2","2"
"147",673751.4,268898.6,"4308_1","Kaiserstuhl",5,"1","2","2","2"
"148",677477.3,264643.6,"100_1","Stadel",10,"2","2","2","2"
"149",674395.5,248420.2,"250_1","Urdorf",10,"2","2","2","2"
"150",670703.1,261943.8,"91_1","Niederweningen",5,"1","2","2","2"
"151",675432.9,259636.3,"95_1","Regensberg",7,"2","2","2","2"
"152",689606.434,206371.967,"1364_1","Ingenbohl",17,"1","2","1","2"
"153",687288.1,225931.2,"1704_1","Menzingen",7,"1","2","1","2"
"154",681700.5,217137.8,"1710_1","Walchwil",5,"2","2","2","2"
"155",681313.3,225432.7,"1711_1","Zug",10,"2","2","2","2"
"156",675545.8,215230.6,"1331_1","Küssnacht (SZ)",7,"1","2","2","2"
"157",674903.8,221619.4,"1707_2","Rotkreuz",6,"2","2","2","2"
"158",674705.8,202969.9,"1502_1","Buochs",8,"1","2","1","2"
"159",676002.1,209594.1,"1069_1","Weggis",5,"1","2","1","2"
"160",674607,225481.2,"1703_1","Hünenberg",13,"2","2","2","2"
"161",670602.9,201063.8,"1509_1","Stans",5,"1","2","1","2"
"162",686315.5,241603.6,"154_1","Küsnacht (ZH)",12,"2","2","2","2"
"163",683604.1,237969.1,"136_1","Langnau am Albis",8,"1","2","2","2"
"164",685134.3,239017.3,"141_1","Thalwil",6,"2","2","2","2"
"165",679475.3,242096.1,"13_1","Stallikon",8,"1","2","2","2"
"166",682407.1,231308.6,"6_1","Kappel am Albis",6,"2","2","2","2"
"167",680054.9,232997.4,"12_1","Rifferswil",6,"1","2","1","2"
"168",676187.4,239154.8,"5_1","Hedingen",8,"2","2","2","2"
"169",670864.1,234696.8,"4234_1","Merenschwand",9,"2","2","2","2"
"170",668386.2,244811.4,"4063_1","Bremgarten (AG)",8,"2","2","2","2"
"171",666288.8,239751,"4228_1","Boswil",4,"1","2","2","2"
"172",666857.4,220562.8,"1026_1","Eschenbach (LU)",7,"2","2","2","2"
"173",666038.3,207711.5,"1058_1","Horw",7,"1","2","2","2"
"174",666114.5,210876.1,"1061_1","Luzern",6,"2","2","2","2"
"175",655422.3,271233.8,"4311_1","Leibstadt",10,"2","2","2","2"
"176",670860.4,266465.9,"4319_1","Siglistorf",6,"1","2","2","2"
"177",666430.3,267696,"4301_1","Baldingen",6,"2","2","2","2"
"178",645730,265657,"4169_1","Kaisten",7,"1","2","2","2"
"179",658444.6,264241,"4121_1","Villigen",6,"1","2","1","2"
"180",649754.408,262041.689,"4097_1","Elfingen",8,"1","2","2","2"
"181",658048.9,259184.5,"4095_1","Brugg",9,"1","2","2","2"
"182",643789.084,262081.821,"4163_1","Frick",7,"2","2","2","2"
"183",637427,260996,"4262_1","Wegenstetten",8,"2","2","1","2"
"184",638298.281,265941.996,"4260_1","Stein (AG)",7,"2","2","1","2"
"185",660752.8,234197.8,"1021_1","Aesch (LU)",8,"1","2","1","2"
"186",661468.4,248995.7,"4068_1","Hägglingen",9,"1","2","2","2"
"187",656453.9,240851.2,"4192_1","Boniswil",9,"2","2","2","2"
"188",651103.6,242332,"4145_1","Teufenthal (AG)",7,"1","2","2","2"
"189",648321.5,231684.8,"1104_1","Triengen",6,"1","2","2","2"
"190",646609,242919,"4009_1","Muhen",6,"1","1","2","1"
"191",646530.113,249335.892,"4001_1","Aarau",11,"1","2","2","2"
"192",647237.1,236355.3,"4275_1","Kirchleerau",8,"2","2","1","2"
