"","Easting","Northing","BFS","Name","Count","i1","i6","i11","iv14"
"193",638457.047,237404.531,"4289_1","Zofingen",7,"2","2","2","2"
"194",658737.4,252308.8,"4193_1","Brunegg",9,"1","2","1","2"
"195",657755.6,254737.1,"4104_1","Lupfig",10,"1","2","2","2"
"196",660846.9,257011.5,"4024_1","Birmenstorf (AG)",10,"1","2","2","2"
"197",646366.685,256114.252,"4004_1","Densbüren",9,"1","2","1","2"
"198",642816.884,255481.725,"4173_1","Oberhof",10,"1","2","1","2"
"199",669818.4,254890,"4048_1","Würenlos",5,"2","2","2","2"
"200",655230.7,249193,"4201_1","Lenzburg",10,"2","2","2","2"
"201",640171.9,249340.2,"2499_1","Stüsslingen",10,"1","2","1","2"
"202",665352.4,252955.2,"4035_1","Niederrohrdorf",11,"1","2","2","2"
"203",658025.1,216810.3,"1093_1","Neuenkirch",11,"1","2","1","2"
"204",656640.7,209817.5,"1062_1","Malters",7,"1","2","1","2"
"205",657099.1,220921.3,"1102_1","Sempach",10,"1","2","2","2"
"206",661103.6,224627.1,"1039_1","Römerswil",10,"2","2","1","2"
"207",652245.2,214974.3,"1098_1","Ruswil",7,"2","2","1","2"
"208",650876.4,224849.1,"1103_1","Sursee",5,"2","2","2","2"
"209",646436,220413.5,"1086_1","Grosswangen",14,"1","2","2","2"
"210",647443.8,204875,"1002_1","Entlebuch",10,"1","2","1","2"
"211",648252.3,212485.6,"1107_1","Wolhusen",8,"1","2","1","2"
"212",641721.9,229247.3,"1125_1","Dagmersellen",7,"2","2","2","2"
"213",641745.8,218978.5,"1149_1","Willisau Stadt",10,"1","2","2","2"
"214",636746.1,220704.2,"1150_1","Zell (LU)",7,"2","2","2","2"
"215",692819.3,292170.8,"2913_1","Bibern (SH)",7,"2","2","2","2"
"216",678605.3,289355.3,"2952_1","Schleitheim",11,"2","2","2","2"
"217",687732.8,290754.7,"2936_1","Merishausen",7,"2","2","2","2"
"218",689634.8,283740.7,"2939_1","Schaffhausen",5,"2","2","2","2"
"219",698326.38,280633.594,"4536_1","Basadingen-Schlattingen",5,"2","2","2","2"
"220",676991.4,280175.6,"2974_1","Wilchingen",10,"2","2","2","2"
"221",676464.7,283385.5,"2971_1","Hallau",14,"2","2","2","2"
"222",679522,284102,"2901_1","Gächlingen",13,"2","2","2","2"
"223",634865.8,241115.1,"4271_1","Aarburg",7,"1","2","1","2"
"224",630524,263875,"2853_1","Maisprach",8,"1","2","1","2"
"225",630601.652,267464.866,"4254_1","Möhlin",10,"1","2","2","2"
"226",631543.9,243334.9,"2582_1","Rickenbach (SO)",7,"1","2","1","1"
"227",630652.8,251087,"2843_1","Buckten",7,"2","2","2","2"
"228",624843.8,244353.4,"2888_1","Langenbruck",5,"1","2","1","2"
"229",624940.9,252690.4,"2886_1","Hölstein",10,"2","2","1","1"
"230",627863,255436,"2869_1","Zunzgen",6,"2","2","2","2"
"231",631670,257115,"2846_1","Gelterkinden",24,"2","2","2","2"
"232",622322,259363,"2829_1","Liestal",9,"2","2","1","2"
"233",628341.801,264049.516,"4253_1","Magden",8,"1","2","1","2"
"234",616959,268845,"2702_1","Bettingen",7,"2","2","2","2"
"235",619074.4,263578.5,"2831_1","Pratteln",18,"2","2","2","2"
"236",619981.2,243387.6,"2428_1","Mümliswil-Ramiswil",6,"1","2","1","2"
"237",620139.1,253439.8,"2834_1","Ziefen",6,"1","2","2","2"
"238",623086.3,189268.8,"904_1","Röthenbach im Emmental",6,"1","2","1","1"
"239",621853,196556.6,"907_1","Signau",8,"1","2","1","1"
"240",626356.1,198713.3,"902_1","Langnau im Emmental",14,"1","1","1","1"
"241",613930.8,192215,"612_1","Konolfingen",7,"1","1","1","1"
"242",610533.2,187971,"621_1","Oberwichtrach",17,"1","2","1","1"
"243",603499.8,202491.2,"362_1","Ittigen",8,"1","1","1","1"
"244",609419.8,197653.2,"627_1","Worb",5,"1","2","1","1"
"245",608133.1,194245.6,"623_1","Rubigen",8,"1","2","1","1"
"246",604542.3,193161.3,"861_1","Belp",8,"1","2","1","2"
"247",625326.6,220680.6,"344_1","Ursenbach",10,"1","2","1","2"
"248",601431.4,221662.4,"2444_1","Bibern (SO)",10,"1","2","1","1"
"249",609108.4,219688.6,"552_1","Utzenstorf",5,"1","2","1","1"
"250",617393.5,217259.1,"424_1","Wynigen",6,"1","1","1","1"
"251",605510,214308.2,"539_1","Grafenried",7,"1","2","1","1"
"252",631194.8,218047.8,"954_1","Huttwil",9,"1","2","1","1"
"253",623325.7,208524,"957_1","Sumiswald",8,"1","2","1","1"
"254",609747.4,206576.8,"414_1","Krauchthal",7,"1","2","1","1"
"255",619206.1,206290.3,"955_1","Lützelflüh",10,"1","1","1","1"
"256",592557.3,185205.7,"854_1","Wahlern",8,"1","1","1","1"
"257",615584,263523,"2770_1","Muttenz",9,"1","2","2","2"
"258",611389.5,266347.3,"2701_2","Basel",6,"2","2","2","2"
"259",611909.2,257348.3,"2761_1","Aesch (BL)",8,"2","2","1","2"
"260",607760.1,247019.5,"2615_1","Erschwil",10,"1","2","1","2"
"261",612963.9,239341.2,"2421_1","Aedermannsdorf",6,"1","2","1","2"
"262",613664.2,249191.1,"2621_1","Nunningen",7,"2","2","1","2"
"263",604705.9,252532.1,"2787_1","Laufen",8,"1","2","1","2"
"264",607729.4,258856.9,"2768_1","Ettingen",5,"2","2","1","2"
"265",599589,250264.9,"2788_1","Liesberg",6,"1","2","1","1"
"266",604738,265165,"2774_1","Schönenbuch",6,"1","2","1","2"
"267",598509,252835.8,"2619_1","Kleinlützel",6,"1","2","1","2"
"268",602093.019,257355.389,"2477_1","Metzerlen-Mariastein",7,"2","2","2","2"
"269",592619.8,253704.9,"2790_1","Roggenburg",4,"1","2","1","1"
"270",606351.936,236540.681,"2429_1","Welschenrohr",4,"1","2","1","2"
"271",619362.1,235509.9,"981_1","Niederbipp",14,"1","2","1","2"
"272",629756.6,235005.2,"4279_1","Murgenthal",6,"1","2","1","1"
"273",598899.3,227977.2,"2543_1","Bettlach",11,"1","2","1","2"
"274",608049.6,228173.9,"2601_1","Solothurn",3,"2","2","1","2"
"275",626685.4,229070.6,"329_1","Langenthal",8,"1","2","1","2"
"276",634650.2,230757.2,"1139_1","Pfaffnau",11,"1","2","1","2"
"277",616466.3,231268.7,"992_1","Wangen an der Aare",10,"1","2","1","2"
"278",616834.7,225580.8,"2511_1","Aeschi (SO)",9,"1","2","1","2"
"279",623853.4,226038.8,"324_1","Bleienbach",5,"1","2","1","2"
"280",631293.4,225776,"333_1","Melchnau",8,"1","2","1","2"
"281",592384,224902.5,"392_1","Pieterlen",6,"1","2","1","1"
"282",595103.1,220973.5,"383_1","Büren an der Aare",7,"1","2","1","1"
"283",591538.4,216674.8,"384_1","Busswil bei Büren",7,"1","1","2","1"
"284",594185.4,217481.8,"385_1","Diessbach bei Büren",6,"1","2","1","1"
"285",596329.3,217879.6,"2461_1","Schnottwil",7,"1","2","1","1"
"286",597866.8,212533.5,"310_1","Rapperswil (BE)",10,"1","2","1","1"
"287",596983.2,214700.1,"394_1","Wengi bei Büren",6,"1","2","1","1"
"288",587631.3,210385.8,"301_1","Aarberg",10,"1","2","1","2"
"289",581738.6,212868.6,"751_1","Täuffelen",8,"1","2","1","1"
"290",594344.9,206508.3,"307_1","Meikirch",5,"1","2","1","1"
"291",601013.4,207819.4,"546_1","Münchenbuchsee",12,"1","2","1","1"
"292",592388.6,200341.3,"663_1","Frauenkappelen",6,"1","2","1","1"
"293",600419.6,199553.2,"351_1","Bern",20,"1","1","1","1"
"294",589436,193661.3,"670_1","Neuenegg",5,"1","2","1","1"
"295",589593.3,186009.8,"2296_1","Heitenried",8,"1","2","1","1"
"296",590224.5,190418,"2308_1","Ueberstorf",10,"1","2","1","1"
"297",584788.4,194678.1,"667_1","Laupen",7,"1","2","1","1"
"298",583008.8,184899,"2306_1","Tafers",7,"1","1","1","1"
"299",580980.6,188850.1,"2293_1","Düdingen",8,"1","2","1","2"
"300",579669.7,193515.4,"2262_1","Gurmels",5,"1","1","1","1"
"301",581377.8,218004.9,"752_1","Tüscherz-Alfermée",5,"1","2","1","2"
"302",578460.6,183802.2,"2196_1","Fribourg",9,"1","1","1","1"
"303",575661.7,197634.9,"2275_1","Murten",6,"1","2","1","1"
"304",576972.8,214815.8,"740_1","Ligerz",6,"1","2","1","1"
"305",574025.3,210323.5,"492_1","Erlach",5,"1","2","1","1"
"306",574719.5,206111.6,"496_1","Ins",8,"1","2","1","1"
"307",607798.5,181790.1,"883_1","Seftigen",7,"1","2","1","1"
"308",600063.1,185604.9,"880_1","Rüeggisberg",6,"1","1","1","1"
"309",614988.2,180877.2,"939_1","Steffisburg",26,"1","1","1","1"
"310",582545.3,178942,"2294_1","Giffers",10,"1","2","1","1"
"311",614640.4,178193.4,"942_1","Thun",9,"1","2","1","1"
"312",591626.3,179573.2,"852_1","Guggisberg",7,"1","1","1","1"
"313",588484.4,176610.7,"2299_1","Plaffeien",7,"1","1","1","1"
"314",643908.6,200096.3,"1008_1","Schüpfheim",5,"1","2","1","2"
"315",663442.1,199224.6,"1401_1","Alpnach",10,"1","2","1","2"
"316",685630.4,196128.8,"1211_1","Isenthal",17,"1","2","1","2"
"317",661497.1,194115.9,"1407_1","Sarnen",10,"1","2","1","2"
"318",672929.4,195668.3,"1511_1","Wolfenschiessen",13,"1","2","1","2"
"319",633397.3,199134.2,"908_2","Trub",10,"1","1","1","1"
"320",637734.7,195957.8,"1003_1","Escholzmatt",8,"1","2","1","2"
"321",644033.3,192599.5,"1004_1","Flühli",5,"1","1","1","2"
"322",663753.6,194747.1,"1404_1","Kerns",5,"1","2","1","2"
"323",673895.4,185875.4,"1402_1","Engelberg",8,"1","2","1","2"
"324",690942.8,192333.2,"1201_1","Altdorf (UR)",9,"1","2","2","2"
"325",655064,181883,"1405_1","Lungern",11,"1","2","1","2"
"326",657050.959,187589.132,"1403_1","Giswil",12,"1","2","1","2"
"327",632234.4,186359.9,"906_1","Schangnau",5,"1","1","1","1"
"328",635192.1,189308.5,"1006_1","Marbach (LU)",7,"1","2","1","1"
"329",645389.4,178276.2,"573_1","Brienz (BE)",22,"1","1","1","1"
"330",656975.8,175417.8,"785_1","Meiringen",10,"1","1","1","1"
"331",640194.6,173497.6,"582_1","Iseltwald",11,"1","1","1","1"
"332",660454.7,173040.5,"784_1","Innertkirchen",9,"1","1","1","1"
"333",665152.8,167414.1,"782_1","Guttannen",8,"1","1","1","1"
"334",645466.2,163888.6,"576_1","Grindelwald",9,"1","1","1","1"
"335",636955.8,161644.9,"584_3","Wengen",6,"1","1","1","1"
"336",631628.8,170359,"581_1","Interlaken",10,"1","2","1","1"
"337",669858.1,154055.9,"6066_1","Oberwald",6,"1","1","1","1"
"338",669877.9,176753.6,"781_1","Gadmen",7,"1","2","1","1"
"339",634813.8,156554.7,"584_2","Mürren",7,"1","1","1","1"
"340",635962,160848.4,"584_1","Lauterbrunnen",5,"1","1","1","1"
"341",632532.4,175070.1,"579_1","Habkern",5,"1","1","1","2"
"342",620192.6,169368.9,"768_1","Faulensee",5,"1","2","1","1"
"343",618487.6,170597.2,"768_2","Spiez",6,"1","2","1","1"
"344",625899.8,167197.8,"585_1","Leissigen",9,"1","2","1","1"
"345",609647.8,166420,"762_1","Diemtigen",8,"1","1","1","1"
"346",613889.1,171465.6,"767_1","Reutigen",9,"1","1","1","1"
"347",619569.4,163827.3,"567_2","Reichenbach im Kandertal",7,"1","1","1","1"
"348",621808.4,159852.6,"567_1","Kiental",11,"1","2","1","1"
"349",616296.4,159686.8,"563_1","Frutigen",9,"1","1","1","1"
"350",617898.3,149542.1,"565_1","Kandersteg",8,"1","2","1","1"
"351",609304.1,149113.8,"561_1","Adelboden",10,"1","1","1","1"
"352",624688.1,138130,"6195_1","Ferden",13,"1","1","1","1"
"353",629268,141098.8,"6192_1","Blatten",10,"1","1","1","1"
"354",613787.1,132532.1,"6109_1","Inden",5,"1","2","1","1"
"355",631619.9,129162.7,"6191_1","Ausserberg",6,"1","2","1","1"
"356",623903.3,129181.8,"6200_1","Steg",5,"1","1","1","1"
"357",617456.6,127168.6,"6101_1","Agarn",11,"1","1","1","1"
"358",617527.1,130445.4,"6117_1","Guttet-Feschel",5,"1","1","1","1"
"359",629049.9,125518.9,"6193_1","Bürchen",7,"1","1","1","1"
"360",610158.9,128930,"6113_1","Salgesch",7,"1","1","1","1"
"361",596439.1,151428.7,"793_1","St. Stephan",7,"1","1","1","1"
"362",600401.3,145231.5,"792_1","Lenk",7,"1","1","1","1"
"363",595145.3,155796.2,"794_1","Zweisimmen",8,"1","1","1","1"
"364",588216.6,168849.3,"2299_2","Schwarzsee",9,"1","2","1","1"
"365",587464.9,162177.3,"2138_1","Jaun",8,"1","1","1","1"
"366",596261.4,164017.3,"791_1","Boltigen",8,"1","1","1","1"
"367",586321,148613,"843_2","Saanen",10,"1","1","1","1"
"368",586829.4,137117.7,"841_1","Gsteig",8,"1","1","1","1"
"369",661698.8,146778.1,"6067_1","Reckingen",11,"1","2","1","1"
"370",657355.8,135015.8,"6054_1","Binn",3,"1","1","1","1"
"371",653368.9,139315.4,"6057_1","Fiesch",10,"1","1","1","1"
"372",648508.8,136309.6,"6171_1","Betten",5,"1","1","1","1"
"373",646839.4,134060.6,"6179_1","Mörel",9,"1","1","1","1"
"374",642260.2,129562.8,"6002_1","Brig-Glis",7,"1","1","1","1"
"375",638482,108053,"6291_1","Saas-Grund",7,"1","1","1","1"
"376",647676.4,116232.6,"6009_1","Simplon",11,"1","1","1","1"
"377",635776.9,123168.3,"6298_1","Visperterminen",9,"1","2","1","1"
"378",634176.7,127047.7,"6297_1","Visp",11,"1","1","1","1"
"379",623812,96492,"6300_1","Zermatt",9,"1","1","1","1"
"380",626629,105344,"6287_1","Randa",5,"1","2","1","2"
"381",628031.6,113812.4,"6292_1","Sankt Niklaus",7,"1","1","1","1"
"382",635646,201662,"908_1","Fankhaus",7,"1","1","1","1"
"383",721561.4,236057.3,"3377_1","Ricken",6,"2","2","2","2"
